likelihood_beta,beta
1.2238435482e-26,1.7457334729
1.1969847016e-26,1.7022763288
1.6598972006e-26,2.4394716583
1.9062973107e-26,2.8566019598
1.4208537240e-26,2.0592473592
9.4096522472e-27,1.2699662460
1.1956765969e-26,1.7001533470
2.1596629608e-27,9.3399118445
1.5315396402e-26,2.2341789914
1.0795757407e-26,1.5087889795
1.5267546884e-27,9.6877901642
4.4224901930e-27,8.5299159123
1.4957441259e-26,2.1775172438
1.2123868861e-26,1.7272271050
1.0211872558e-26,1.4098281291
8.9745294882e-27,7.5332608760
1.3977159612e-26,2.0227043585
1.2526376931e-26,1.7920633954
2.3719412946e-26,4.2658575895
1.1305366119e-26,1.5935635175
1.5789167945e-28,11.5602470360
