likelihood_sigma,sigma
7.4200203973e-22,1.8556207530
1.1979517960e-21,1.4909082455
1.0513074641e-21,1.6499635048
9.7425728031e-22,1.7044337794
1.0245844405e-21,1.6695094212
1.1653302043e-21,1.3659896791
1.1658574678e-21,1.5454812247
1.0036009130e-21,1.6843172290
1.1151859641e-21,1.5981133797
1.1658061501e-21,1.5455457135
1.1263575663e-21,1.5878345007
1.1291030642e-21,1.5852248423
1.1855718316e-21,1.3913460475
1.1839962712e-21,1.5196252825
6.2821696137e-23,2.7631411489
1.0697565622e-22,2.5850207794
1.1805111710e-21,1.3840649054
1.1970800839e-21,1.4129363768
9.6304183684e-22,1.7119795706
1.1472434630e-21,1.5669357023
1.1037211389e-21,1.6081781005
1.1555982556e-21,1.5577331834
1.1922270004e-21,1.4026176967
1.1849828229e-21,1.5179731263
1.1367571718e-21,1.5777474686
1.2049463978e-21,1.4466760756
5.0196071548e-22,2.0282102771
9.3637333191e-22,1.7296805687
9.2091171689e-22,1.7398195868
1.1345222805e-21,1.5799633610
1.1514552165e-21,1.5623709481
1.2050959422e-21,1.4539062028
1.1214471168e-21,1.5924164089
1.1996391670e-21,1.4197323966
1.1221291224e-21,1.5917862954
1.1344423232e-21,1.5800421202
2.6489530179e-25,4.6857866573
7.3439320913e-22,1.8606323290
1.1792416212e-21,1.5271379317
1.2029110550e-21,1.4315751495
9.3668648977e-22,1.7294743897
9.8156338835e-22,1.6994793692
1.1717269041e-21,1.3730735719
1.2039060696e-21,1.4369478890
1.2050778551e-21,1.4498928062
1.2047482469e-21,1.4608657533
1.1716151429e-21,1.3729440612
1.2051013791e-21,1.4535048260
1.1620140320e-21,1.5502150926
1.1835872650e-21,1.5202998776
1.1479181113e-21,1.5662139453
1.0865555787e-21,1.6225182086
1.2044155472e-21,1.4406400021
1.0061800408e-21,1.6825185338
1.2038268334e-21,1.4364517858
6.3304105769e-22,1.9295133798
1.5302211041e-22,2.4633801447
1.2032824323e-21,1.4333974933
1.2021691683e-21,1.4768818840
1.0638763854e-21,1.6404315530
