beta,sigma,theta1,theta2
1.303650,1.343989,1.298074,1.337716
1.450060,1.333221,1.484233,1.387491
3.906949,5.413590,2.677019,2.632554
1.793032,1.314074,1.303916,1.316655
1.576967,1.282156,1.328226,1.336352
1.327011,2.011535,1.325626,1.570264
1.327828,2.514265,1.732497,3.747915
1.322502,1.437825,2.196606,1.316192
2.043592,1.923659,4.066134,1.268972
1.567913,1.278518,1.987262,1.820732
1.843392,2.932735,8.599428,2.758498
1.675389,1.778332,1.464191,1.962179
2.513114,4.172560,4.354402,7.168115
6.597354,7.906712,4.419340,9.169265
1.349970,1.268609,1.502778,1.600633
1.283013,1.275085,1.408075,1.384765
1.361034,1.302115,1.370619,1.736467
4.247683,2.061064,2.499688,3.170167
2.717770,1.318641,1.322076,2.033984
1.299177,1.271025,2.866137,1.852513
1.386504,1.340629,1.437178,1.317430
1.323748,1.305871,1.335866,1.331902
1.357447,1.343568,1.438902,1.345356
1.361983,1.364790,1.365311,1.346147
1.533761,1.336232,1.364887,1.330818
1.309668,1.320458,4.145609,12.117048
11.830987,8.249693,5.759188,4.761471
2.279136,1.466623,1.571265,1.496180
1.405050,2.277133,1.425627,1.706506
1.249240,1.658791,1.430817,1.615758
1.268831,1.540812,1.791018,1.580665
1.503088,1.344221,1.386484,1.395917
1.332031,1.570512,1.345584,1.723050
1.705480,2.517711,3.055668,1.881495
1.427668,1.369583,1.490277,1.455750
1.352919,1.585397,1.397902,1.635178
1.556486,1.269554,1.438174,1.859397
2.552205,2.761169,1.461332,1.404633
2.228069,4.423705,1.875743,1.471285
1.566688,3.569555,3.287423,2.091182
2.130322,2.839504,1.833422,1.425394
1.287527,1.308588,1.443374,1.410785
1.819168,1.354083,1.477191,1.368835
1.301706,1.429444,1.441609,1.338998
1.415277,1.371076,1.432219,1.477746
1.416715,2.555550,4.623352,3.015130
2.496602,1.323141,1.826535,5.860098
1.345201,1.953071,1.351664,1.356007
1.345686,1.334883,1.324215,1.452387
1.344089,4.405212,3.746055,2.429079
6.357594,6.289100,2.340684,1.768720
1.490230,1.449088,1.622123,1.535452
1.335027,1.614653,1.668970,1.614346
2.246419,2.175216,2.312892,1.628871
1.914982,1.684984,2.533949,3.704167
3.829498,8.059872,2.487045,2.838960
2.162741,2.638822,2.427083,1.774574
1.383054,1.505107,1.280750,2.493799
2.668064,1.427307,1.801090,1.945356
1.455440,1.284738,1.317433,1.588355
1.469377,1.268620,1.445807,1.354532
2.394286,2.160157,1.412834,1.268600
1.659929,1.602036,1.373373,1.535792
1.487304,1.593380,1.536719,2.822370
2.016771,2.268080,1.744636,1.782269
1.282930,1.537462,1.481926,1.995242
1.314980,1.374095,2.186650,1.280903
1.465713,2.351475,6.510601,1.322854
1.333532,1.345947,1.303991,1.355670
1.337107,1.339982,1.478427,2.165394
4.551836,1.340280,1.340752,1.353462
1.341529,1.439419,1.372127,1.334303
9.276757,9.426220,10.132924,9.169916
4.658860,0.924633,1.862590,2.069047
1.745517,1.603118,2.466234,2.413610
2.015402,2.278061,2.781740,1.428605
1.886157,1.503688,1.621976,1.937038
1.989024,2.645613,3.483139,3.648214
1.414465,1.275502,1.295605,3.252091
1.283417,1.350481,1.365620,1.333545
1.386876,1.336958,1.343163,1.344395
