beta,sigma,theta1,theta2
1.567933,2.154323,2.191573,1.876761
1.998446,2.649664,3.008993,3.618020
3.603545,3.590284,4.649739,3.286216
2.936525,2.852436,3.526128,3.519604
3.676915,3.647301,4.629936,4.391427
3.309810,4.055683,4.271434,3.752179
4.614714,4.798337,4.957453,4.791922
4.930684,3.558821,2.538522,3.078057
3.039223,4.049238,4.504954,4.371888
4.598645,4.443612,3.543314,3.697222
3.688313,2.595433,3.197999,3.689446
3.472939,3.177224,2.289837,1.381597
1.541444,1.926833,1.267990,1.567906
1.075109,0.907609,0.259740,0.827138
1.416501,1.504623,1.215577,0.677134
0.344700,0.284041,0.131595,0.581058
0.394631,0.569139,0.131767,0.218182
0.480494,0.729338,0.277281,0.048729
0.675844,0.162314,0.271298,0.004985
0.062804,0.065447,0.187994,0.790050
0.544266,0.292046,0.902399,0.793852
0.648091,1.144990,0.731492,0.612535
1.341214,2.844744,2.341896,2.015907
1.191922,0.729873,1.759400,1.994752
1.766083,1.215616,1.509676,1.101647
1.580462,1.959365,1.530657,1.681705
1.249689,1.828937,1.943236,2.302156
2.360972,1.512506,0.454417,0.887172
1.345926,2.106891,1.368557,2.383293
2.569644,1.852854,1.664580,0.791702
0.424256,0.246046,0.191270,0.390410
0.048435,0.142201,0.151809,0.488398
0.507534,0.367319,1.096643,0.774962
0.014297,0.174701,0.078956,0.562719
0.179158,0.650358,0.196480,0.068104
0.383569,0.173009,0.485157,0.312503
0.098779,1.013317,0.774719,0.795012
0.414414,0.288032,0.236653,0.093836
0.285984,0.717324,1.176026,1.230626
0.987537,1.342882,1.799462,1.687824
1.846012,2.628268,3.397224,3.203632
3.243994,3.737943,4.248675,4.652881
4.959670,3.820439,4.623711,4.444514
4.445249,4.332054,3.764658,4.001085
4.241826,3.834858,3.271622,2.641671
3.024716,3.408864,3.187273,3.755253
2.881300,2.096866,2.293515,1.289083
1.063200,0.868702,0.263391,0.351908
0.921276,1.017107,1.432358,1.447390
0.391374,0.343223,0.602555,0.218865
0.246519,0.588282,0.692091,0.961875
1.198020,0.227073,0.224846,0.037414
0.196575,0.448537,0.296041,0.307634
0.999763,0.826977,0.423481,0.491556
0.391071,0.381539,0.010082,0.340109
0.719224,0.480098,0.338845,0.450658
0.289203,0.805929,0.674566,0.408281
0.265075,1.126528,1.718434,1.579065
1.522283,1.955769,1.303597,0.145144
0.093653,0.610612,0.054934,0.122826
0.339148,0.687118,0.649104,0.824797
0.743196,0.353615,0.395741,0.160458
0.389489,0.881489,0.466514,0.376229
0.578027,0.042204,0.134682,0.505076
0.484577,0.830132,0.381725,0.841329
0.142774,0.425404,0.129642,0.214860
0.251668,0.116896,0.182414,0.013108
0.137547,0.015873,0.336093,1.013889
1.539463,2.238327,1.554970,1.318700
1.854266,1.778840,2.293530,1.924777
2.749226,2.878449,2.255592,2.182157
1.619908,1.815410,0.983624,1.686201
2.163603,2.766880,3.063527,3.328408
3.465068,3.302889,3.757428,3.526349
3.413336,2.769847,1.990669,3.218305
2.820577,2.894106,3.525685,3.945845
4.255649,3.593188,3.852164,4.175266
3.581255,3.092524,2.499223,2.732904
3.516402,3.237546,2.722453,3.023772
3.809662,3.696021,3.780546,4.153111
4.368925,4.605756,4.034748,3.081926
3.693892,4.788073,4.480259,4.770546
4.889965,4.773368,4.333242,3.104487
3.275835,3.412388,3.705709,3.045577
2.805756,2.686840,2.464582,2.143047
1.991629,1.135066,1.053041,0.362472
0.568149,0.836245,0.341734,0.250451
1.258600,1.566449,0.107714,0.031040
0.983985,1.082546,0.722103,0.912743
0.166346,0.282274,0.110850,0.432957
0.288713,0.333842,0.347466,0.361170
0.550075,0.303482,0.659283,1.289598
0.857295,1.315312,1.930158,2.310791
2.055597,2.183797,1.683388,2.045563
3.249172,2.422930,2.574402,3.198695
2.856315,2.155809,1.867403,0.894532
0.018998,0.631103,0.418002,0.322883
0.129576,0.175366,0.010937,0.613576
0.468915,0.395322,0.705466,1.791976
1.484295,1.303531,0.544811,0.181000
0.609084,0.978165,1.121759,0.785128
0.427703,0.744803,0.227056,0.612148
0.152183,0.608413,0.013857,0.661176
0.578806,0.325830,0.287871,0.167493
0.010103,0.885395,0.508452,0.214055
0.132276,0.542910,1.091084,0.503907
0.698935,0.606041,0.364487,0.506288
0.473190,0.459134,0.082300,0.055413
0.260537,0.113249,0.017012,0.123072
0.198723,0.050818,0.367240,0.132866
0.004532,0.029588,0.417444,0.281044
0.428172,0.476186,1.351253,1.330061
0.452766,1.187986,0.308728,1.643384
1.812495,1.511083,0.726445,1.373724
1.533847,0.582658,0.215637,0.116326
0.241397,0.177152,0.097717,0.113574
0.398033,0.373074,0.590416,0.713047
1.645047,0.333672,0.283841,0.346384
0.258586,0.600767,0.233965,0.129808
0.302012,0.634476,1.024287,1.246132
0.057950,0.099469,0.724633,0.185683
0.139909,0.094054,0.014611,0.127994
0.071854,0.614297,0.216597,0.048072
0.021922,0.784126,1.150472,1.131922
1.401630,1.313281,1.691662,0.884449
0.181332,0.129011,0.424755,0.749456
0.327137,0.754641,1.656174,1.517830
1.110178,1.023634,1.143832,1.042001
0.504663,0.211677,1.177127,0.760967
1.162425,0.305283,0.176173,0.036348
0.986648,0.994279,0.713363,0.800030
0.932610,0.749152,1.034123,0.836144
0.809108,1.159479,1.162174,2.077781
2.120941,2.761468,2.376540,1.999679
1.764667,1.331177,0.527390,0.214776
0.099634,0.172052,0.051398,0.235003
0.396114,0.890651,0.428564,0.087001
0.380013,0.559582,0.635214,1.283654
0.761718,0.513615,0.159219,0.240892
0.406795,0.261047,0.739452,0.558059
0.266196,0.241509,0.119002,0.354090
0.714010,0.502397,0.702671,0.616191
0.065643,0.277826,0.560290,0.056090
0.091869,0.376371,0.125405,0.107810
0.273975,0.038267,0.178522,0.241253
0.769895,1.199424,0.065745,0.269167
1.066716,0.711625,1.192992,1.012850
2.062645,2.699453,2.003768,1.969325
1.304216,1.289957,1.348837,1.177014
0.799194,0.424098,0.519554,0.173027
0.913798,0.806280,1.192161,1.061192
0.733113,0.745875,0.562175,1.547521
1.057774,0.445961,0.664598,0.495553
0.928046,1.150724,0.849503,0.278901
0.743368,0.421848,0.237176,0.027932
0.049388,0.446503,0.674359,0.699303
0.852687,0.575575,0.533292,0.368064
0.475303,0.530497,1.324268,0.910932
0.529160,0.996244,0.701364,1.427880
1.899550,1.272231,1.279613,0.979316
0.361929,0.112802,0.328214,0.045163
0.231072,0.679446,0.348847,1.027337
1.120560,0.333448,0.056905,0.201851
0.422541,1.074051,0.368194,0.090603
0.184843,0.329756,0.361130,0.400571
0.202785,0.789468,0.765167,0.582694
1.122451,1.076889,0.467196,0.483748
0.625182,0.579416,0.331374,1.015952
1.369892,1.186001,0.619928,0.093218
0.379828,0.014674,0.191603,0.143024
0.123560,0.186777,0.701973,0.127197
0.722315,0.598632,1.189709,0.630213
0.930333,0.771067,1.155440,0.444912
0.012425,0.074631,0.689363,0.714559
1.112660,1.533963,1.147886,1.028422
0.055973,0.185988,0.376829,0.690950
0.557260,0.765159,1.899635,1.642256
0.488451,0.209703,0.350013,0.361121
0.313413,0.554288,1.334571,0.925176
0.385180,0.704420,0.582099,1.021989
1.046839,0.669797,0.493113,0.445100
0.361121,0.503957,0.188851,0.176139
0.201851,0.334998,0.625192,0.476992
0.602234,0.720322,0.652755,0.730357
1.792658,1.368321,2.051645,2.715531
1.350805,1.692542,0.968850,1.140954
1.561655,1.169873,0.586493,1.021032
1.908228,1.872467,1.982562,2.881997
2.363067,1.526379,0.279605,0.142561
0.210358,0.415359,0.984975,1.191021
1.343969,0.498612,0.125392,0.455522
0.035498,0.692128,0.738598,0.086271
0.428714,0.574373,0.551532,0.372077
0.077930,0.426897,0.149383,0.650923
0.683466,0.621599,0.039280,0.005653
0.048382,0.836681,1.561949,1.023910
1.463648,1.147956,1.418451,0.791782
1.125226,0.517457,0.323037,0.731636
0.613730,0.240471,0.291370,0.207441
0.853819,0.224660,0.767631,0.189656
0.529907,0.981222,1.432887,1.184871
0.196690,0.290636,0.656264,0.406402
1.856133,1.745368,1.133918,2.182595
1.218436,2.001249,1.293244,0.736055
0.010156,0.016648,0.002759,0.178714
0.243623,0.047015,0.412589,0.025290
0.758166,0.214121,0.303529,0.233013
0.574879,0.400581,0.411439,0.086101
0.045427,0.229527,0.095954,0.104404
0.370820,0.873506,0.463179,0.224339
0.448061,0.452437,1.065026,1.600294
1.204001,1.319562,0.377471,0.680553
0.676669,0.214445,0.614680,1.073471
0.826841,0.641663,0.369315,0.072855
0.557737,0.310801,1.132161,0.677619
0.325295,0.688434,1.442158,0.940845
1.116629,1.434347,1.000030,1.306139
1.226409,0.798258,0.417754,0.488322
0.507297,0.593917,0.402704,1.136535
0.319358,0.163720,0.346790,1.015448
0.775095,0.993428,0.189695,0.772925
0.136123,0.551957,0.330556,0.419144
0.428517,0.454666,0.078756,0.487089
1.124379,0.180276,0.200394,0.093632
0.286004,0.744693,0.114289,0.105672
0.253515,0.428562,0.000039,0.322482
0.130766,0.355638,0.229182,0.098763
0.133238,0.444723,0.768903,0.305080
0.366555,1.246127,0.159173,0.019137
0.582509,0.948344,1.081634,0.192847
0.268855,0.433888,0.560108,0.402332
0.318726,0.187064,0.270340,0.498506
0.513446,1.058813,1.188971,0.914111
0.550557,0.098600,0.116410,0.226963
0.309174,0.851559,1.919461,2.012461
1.594219,2.329366,2.442460,1.965342
0.975643,1.535180,1.519103,0.248113
0.318198,0.682373,0.995145,1.399120
2.257593,2.241196,2.160967,2.682890
1.923437,2.749184,3.624424,3.045718
3.716862,3.708320,2.764964,2.958744
2.413749,1.634056,1.097656,0.329269
0.477993,0.925238,0.047708,0.040873
0.193542,0.000901,0.429100,1.488675
2.868885,3.012296,2.925088,3.258234
3.737564,3.975333,3.527456,3.482528
3.761356,3.674864,3.518434,2.760995
3.556857,3.086840,2.672437,2.434377
2.440481,2.191318,2.083279,2.718907
2.725667,1.600297,0.289211,0.340481
1.972401,2.201871,0.847356,0.630116
0.382075,0.642330,0.575367,0.536027
0.978131,0.394347,0.202060,0.011638
0.567367,1.509250,1.592554,1.127566
0.908030,0.685655,0.717946,1.298219
1.656436,1.052624,1.625786,1.908345
2.300437,3.057969,3.361760,2.822483
2.644824,2.362064,2.590239,3.151801
3.302040,2.521172,3.114906,3.524178
2.339941,1.825126,0.952285,0.222756
0.679165,0.856795,0.922557,1.285418
1.052480,0.557465,0.609494,0.328833
0.150612,0.205408,0.055362,0.043036
0.666607,0.683907,0.852476,0.098400
0.013649,0.618912,0.857087,0.771977
0.749539,1.094813,0.765800,0.957141
0.421612,0.696142,0.367598,0.084200
0.097755,0.351746,1.480597,1.995732
1.802946,1.586612,2.410848,2.052468
1.870152,1.515526,0.471668,0.146285
0.098104,0.622407,0.537891,0.375008
0.250974,0.707910,0.701841,0.077760
0.881727,0.494767,0.417209,0.401976
0.208195,0.051563,0.599740,0.275706
0.117957,0.167532,0.002684,0.095999
0.122561,0.096360,0.027696,1.009947
0.518383,0.740775,0.590400,0.086945
0.001989,0.259921,0.120934,0.117210
0.809890,1.029341,1.801584,1.177771
0.892086,0.723051,0.629058,0.234144
0.056365,0.334766,0.398346,0.548737
0.323096,0.316530,0.325742,0.108435
0.518916,0.246355,0.948842,0.605150
0.270906,0.333562,0.321379,0.489755
0.471228,0.814123,0.961804,0.708568
0.986057,1.218705,1.339695,1.085326
2.094349,2.467818,2.048101,1.759142
0.757488,1.084152,0.162928,0.793537
0.576342,0.976246,1.209040,1.800735
1.458784,1.940293,1.876123,2.004160
1.067000,0.051902,0.215277,0.066857
0.417013,0.128402,0.187975,0.133863
0.492989,0.057838,0.530335,1.016946
1.145888,1.295129,2.624131,3.067153
3.637067,3.333003,2.837621,3.636958
2.074406,2.347359,2.075300,2.124827
2.361604,2.341407,2.276095,2.478902
1.613956,0.991048,1.787805,1.945918
1.280375,1.823944,1.823263,1.368144
0.007836,0.115208,0.382424,1.557584
1.187068,1.441916,2.456630,2.755507
2.288500,3.259457,3.130719,2.372216
2.313463,1.947709,2.430282,2.282140
2.948140,2.596895,2.516665,2.420991
2.858996,2.553321,2.545495,2.939613
3.038791,2.453639,2.654542,3.820297
3.358997,3.374514,3.718032,3.503937
3.495157,3.210497,2.738293,3.564687
4.543319,4.566511,3.946335,3.176776
3.599120,3.220543,3.325794,2.145178
2.374419,1.888067,1.928251,1.470082
1.470420,1.514945,1.695211,1.623642
1.573505,2.118288,1.653578,0.606547
1.362066,1.126983,2.125074,1.624625
1.532185,1.581194,0.122131,0.636145
1.367891,1.277482,1.477149,1.898703
1.133918,1.670841,1.840553,0.585913
0.640285,0.935782,1.277161,1.404980
0.954176,0.750194,0.577836,0.937668
0.098497,0.256287,0.363658,1.120713
1.474171,1.477164,2.070157,1.554638
1.691138,1.322462,0.239940,0.144279
0.255629,0.045419,0.245465,0.069444
0.229330,1.287826,1.378137,1.031147
1.708051,1.516030,0.325960,0.157343
0.326169,0.540863,0.426121,0.301419
0.289375,0.869656,0.607208,0.570245
0.568802,1.044382,1.405452,0.516538
0.661732,0.966109,0.907095,0.978862
1.529779,2.058983,2.085989,2.132213
1.033221,0.702387,0.356605,0.204346
0.663076,0.282187,0.421941,0.873956
1.352453,1.060355,0.935420,2.072664
2.751051,2.813668,1.605528,1.279264
0.474483,0.570687,0.331268,0.012344
0.765187,0.082398,0.413221,0.655324
0.352560,0.273154,0.219410,0.891480
0.667141,1.196741,0.982176,0.322865
0.384864,0.562278,0.091487,0.168123
0.490612,0.540388,0.373093,0.013717
0.942500,0.052631,0.323835,0.478696
0.587619,0.275846,0.415721,0.228514
1.123001,0.893458,1.283993,1.705258
2.121822,2.615297,3.180420,4.297331
3.913881,3.644123,3.344635,3.519159
3.300585,4.568293,4.697616,4.215030
4.268924,4.067741,3.844110,3.369138
3.520644,4.187932,4.677493,4.978616
4.384275,3.792566,4.581590,4.208061
4.783983,4.754752,4.835796,3.895478
2.936200,2.330274,2.526359,1.714610
1.751429,0.589440,0.131572,0.545478
0.228787,0.081873,0.062928,0.098480
0.118397,0.148221,0.404769,0.359677
0.339364,0.825270,0.532853,0.274121
0.775152,0.630918,0.731632,0.110679
0.393186,0.020235,0.483327,0.139777
0.009267,0.298569,0.531138,1.300783
1.061289,1.349014,0.528825,0.274477
0.815196,0.772330,1.197083,1.121661
1.036126,1.880441,2.062863,1.611264
2.019112,2.012720,1.555725,1.134754
1.380162,1.863611,0.331715,0.919418
0.643385,0.451680,0.051921,0.491046
0.424070,0.625604,0.169424,0.778893
0.386714,0.368777,0.072422,0.473422
0.237373,0.122697,1.250987,1.092128
1.328031,1.222452,1.592951,1.941090
2.167458,1.904036,0.475250,0.306897
0.987617,1.220427,1.404247,0.760895
0.670409,1.511614,0.625883,0.935961
1.289452,0.248395,0.780818,0.376264
0.016338,0.598153,0.469832,1.576082
2.089782,1.575069,1.399152,2.580984
3.130036,3.162321,3.359047,3.627720
4.127446,4.151806,4.253202,3.938243
3.695383,3.759098,3.448033,4.022720
3.180522,1.487334,0.158324,0.364800
0.264049,0.534099,0.324269,0.055584
0.334312,0.298016,0.218718,0.134692
0.324643,0.416573,0.804375,0.419387
0.208631,0.758002,1.438398,2.076403
2.105613,1.202413,0.779511,0.661005
0.948375,0.412732,0.320460,0.685425
0.471607,0.212783,0.084715,0.449069
0.449344,0.217869,0.462595,0.075190
0.325475,0.400972,0.755765,0.127766
0.899537,1.206281,0.789978,0.208314
0.956954,0.455877,0.695819,0.114934
1.146810,0.399105,0.266962,0.466581
0.555340,0.030032,0.621825,0.378352
0.550282,0.120253,0.089297,0.677144
1.060380,1.163150,2.086000,2.972855
3.813268,4.490822,4.061601,3.716445
4.203129,4.789176,4.646701,4.863433
4.564107,3.681627,4.739845,4.955004
3.924787,3.369163,3.215901,2.734291
2.865927,2.084417,0.435479,0.196159
0.820301,0.125007,0.088192,0.167270
0.054634,0.323826,0.722284,0.117857
0.480779,0.991749,0.103388,0.492452
0.846264,0.702779,0.086163,1.141093
0.387983,0.254770,0.376590,0.234343
0.412453,0.812030,0.202848,0.448963
0.945154,1.700544,1.513928,1.091506
0.753712,0.771626,0.080952,0.154668
0.528166,0.243993,0.152092,0.295653
1.367610,0.172731,0.504114,0.180128
0.059815,0.260795,0.573961,0.183372
0.684249,0.911537,0.385870,0.692886
0.337953,0.039345,0.027796,0.154392
0.392279,0.160718,0.000326,0.003933
0.897789,0.784262,0.495221,0.530374
0.375763,1.155543,1.253371,0.662043
0.080789,0.261686,0.320134,1.675254
2.131309,1.229506,0.889011,0.335043
0.338230,0.113141,0.834477,0.077075
0.174256,0.369278,1.065878,1.940522
2.463078,3.057859,3.068782,4.414241
4.463140,4.194378,4.050615,4.455467
3.361694,3.606742,4.049482,3.470983
2.484471,2.588676,4.082972,3.827134
3.442660,1.740614,0.930251,0.306264
0.498607,0.130807,0.327482,0.466089
0.379838,0.591253,0.825917,0.242963
0.038368,0.202461,0.509468,0.660471
0.624872,1.562819,1.407908,0.776354
0.282703,0.354226,0.609822,0.187126
0.363075,0.454340,0.741382,1.157789
0.608767,0.356881,0.187425,0.660717
0.169579,0.024546,0.146687,0.013319
0.407737,0.400898,0.523634,0.575079
0.485195,0.072711,0.525604,0.203081
0.216451,0.239505,0.370364,0.780084
0.518683,0.287187,0.717382,0.051105
0.334884,0.507249,0.547512,0.833234
0.718802,0.288446,0.609185,1.089263
1.418985,2.108995,2.078037,2.614930
2.449565,2.538405,2.502879,3.396084
3.379035,3.669686,3.688081,3.042124
2.288742,2.423973,3.198875,3.299007
3.777899,3.184818,2.969818,3.196565
3.055769,3.152043,2.405343,2.405133
2.769464,2.878802,3.747978,3.034834
1.552886,1.922260,1.690522,1.584736
1.366388,2.104140,1.841723,0.912014
0.700345,0.354569,0.474636,0.878549
1.508767,1.639780,1.239938,0.209091
0.012205,0.010060,0.186274,0.233796
0.307573,1.287909,0.915937,0.843267
0.629107,0.943918,1.053729,1.413429
1.482833,0.399811,0.132085,0.100812
0.693179,0.234966,0.380084,0.723691
0.289620,0.573592,0.073207,0.172313
0.415083,0.328518,0.854329,0.718841
1.384268,1.810035,1.595164,1.575957
1.215593,0.294887,1.128291,0.228226
1.135645,0.987159,1.937764,1.361098
0.996172,0.637962,0.753918,0.035345
0.240757,0.046563,0.338611,0.519212
0.793802,1.078680,1.254082,1.751673
1.827821,1.665772,2.371827,2.612374
2.154822,2.236589,2.832092,2.539483
2.706537,2.784001,2.934434,3.850945
2.780852,2.911468,1.640541,1.887142
1.493302,0.096644,0.352293,0.655969
0.123794,0.929160,0.439337,0.194888
0.318429,0.230013,0.318834,0.422479
0.193631,0.139138,0.957930,0.507629
0.620094,0.091890,0.119156,0.237399
0.173929,0.877949,0.263762,0.346620
0.474600,0.488405,0.549754,0.013244
1.076482,0.812274,0.695012,1.559448
1.297588,0.021351,0.355500,0.063933
1.605282,0.817673,1.203867,0.541525
1.099106,0.095563,0.445090,0.617780
0.257398,0.173101,0.095220,0.127588
0.428070,0.564047,0.103566,0.310478
0.243979,0.107853,0.073897,0.590757
0.671842,0.232195,1.183180,0.198631
0.315965,0.356881,0.647964,1.078252
0.772220,0.429577,1.099247,0.552109
0.085532,0.707994,0.541848,0.661628
0.425252,0.258858,0.352891,0.544139
0.804260,0.989664,1.131046,0.743234
1.978626,2.633409,2.385676,3.371395
2.789670,3.838023,4.428151,4.686335
4.557651,4.835180,4.457438,4.609909
3.968689,3.391550,3.121776,3.618563
4.205241,4.555851,4.798879,4.957943
4.495274,4.556574,4.326883,4.638355
4.766529,4.606720,4.304253,4.689977
3.135004,3.102295,2.790183,3.331628
3.854089,3.836119,4.212979,3.971386
3.132644,2.864425,2.235728,2.198035
1.596905,1.174757,0.373848,0.192681
0.390817,0.011117,0.090561,0.434301
0.425515,0.058522,0.078711,1.030606
0.513254,0.562270,0.171254,0.088262
0.061935,0.682258,0.302293,0.279613
0.614233,0.721319,0.612866,1.152677
0.581611,0.176233,0.285887,0.183384
0.068600,0.007115,0.287276,0.265936
0.150164,0.394066,0.040971,0.114036
1.219903,0.546732,0.390459,0.491813
0.847631,0.464730,0.887461,1.742922
2.281896,1.651322,0.689326,0.317064
0.621493,0.148694,0.379584,0.272199
0.333976,0.249308,1.191706,1.270076
1.864106,1.384068,0.376924,0.255000
0.091063,0.249978,0.509955,1.741445
0.735304,0.105229,0.282566,0.285674
1.118786,0.273534,0.145652,0.160270
0.407747,0.213194,0.529606,0.572197
0.647800,0.897235,0.907509,0.671964
1.530683,1.109330,1.767295,1.156300
1.165681,0.880635,0.244020,0.789689
0.277103,0.227431,0.873739,0.487666
1.025405,0.130142,0.065988,0.582904
0.127827,0.644962,0.941564,0.799801
0.596872,0.650819,0.046274,0.584986
0.165152,0.365749,0.790778,0.066561
0.280786,0.465751,1.519464,0.733596
0.859498,0.788320,1.347040,0.321066
0.115291,0.431469,0.244453,0.386890
0.988126,0.506413,0.571561,0.266334
0.044601,0.004163,0.348044,0.071928
0.635260,1.360165,1.964219,1.426653
1.047920,2.130702,2.073723,2.745871
0.712991,0.526179,0.388106,0.044042
0.754860,1.139374,1.190231,1.383074
0.980237,1.025306,1.005937,0.676087
0.463310,0.050319,0.234859,1.183468
1.711642,2.049901,2.336789,1.151549
1.490762,1.620480,1.592343,1.065154
0.824387,0.093667,0.082748,0.518563
1.010094,0.556934,1.469470,1.626117
1.724943,3.461772,3.200869,2.941073
2.151183,1.687897,1.383684,0.875422
1.405796,1.673703,0.884140,0.113805
1.106918,0.564481,0.287299,0.766670
0.529777,1.245278,1.149366,0.975224
0.436539,0.501889,0.087234,0.163926
0.661618,0.719506,0.260187,0.032973
0.027819,0.080544,0.541394,0.992319
0.362938,0.294960,0.199226,0.545045
0.255122,0.527773,0.331753,0.129176
0.536978,0.434121,0.680513,1.646839
1.226478,0.259169,0.323242,0.002233
0.054359,0.518675,0.659485,0.365240
0.216266,0.631565,0.587955,0.973579
1.516138,1.240639,0.640800,0.134604
0.318853,0.171267,0.846219,0.876616
0.397339,0.700486,0.168661,0.108527
0.464230,0.520966,0.141960,0.214829
0.612207,0.452910,1.294191,0.706186
0.595306,0.940101,1.106461,2.063711
2.288206,2.776623,4.109686,3.670650
2.069540,1.241136,0.452527,0.428617
0.085789,1.229795,1.454452,1.611711
1.604250,0.504366,0.163110,0.468998
0.274705,0.852266,1.430444,0.565681
0.746032,2.376402,2.633394,2.751007
2.609977,2.437748,2.619980,2.619682
2.529653,2.368422,1.611742,1.679809
2.415669,1.919115,2.480423,2.133015
1.929703,2.569149,2.794793,2.368471
0.874502,0.190056,0.261307,0.078219
0.912841,0.822423,1.099898,0.929875
0.418576,0.178551,0.599558,0.320765
0.777021,0.954008,0.608341,0.570565
1.502434,0.367700,0.281444,0.309351
0.479396,0.973995,0.508556,0.358378
0.236991,0.107305,0.048271,0.369411
0.169642,0.293778,0.138900,0.279591
0.687275,0.943210,1.053849,0.129784
0.029739,0.208262,0.391443,0.509656
0.894271,1.086716,1.170530,0.929337
0.233766,0.248002,0.579541,0.627508
0.345331,0.181727,0.295026,1.309922
1.366985,0.435551,0.461789,1.071542
1.585959,2.024467,2.645449,3.346100
2.436488,3.474026,2.733633,2.561123
1.233092,1.868356,1.917473,1.573019
0.747038,0.469658,0.557165,0.900428
0.231158,0.004069,0.401484,0.158355
0.313137,0.260255,0.151293,0.233715
0.706065,0.301103,0.599305,0.714000
0.687773,0.215594,0.404443,1.063504
1.860761,0.707850,0.691614,0.979616
0.749880,0.669612,0.124653,0.418592
0.117237,0.250412,0.241373,0.626129
1.543225,0.253929,0.074683,0.760488
1.435436,0.793971,0.817109,0.304952
0.493332,0.732016,0.457892,0.085851
0.187669,0.027794,0.512623,0.175657
0.538053,0.365732,0.861635,0.691550
1.108127,0.453652,0.104360,0.383147
0.333111,0.597893,0.827610,0.595976
1.132600,0.478942,0.412323,0.483238
1.561635,1.277851,2.171819,1.783306
2.569546,3.096153,3.852523,2.303141
2.405598,1.884001,1.655226,2.176787
2.498037,2.808733,2.480316,1.982498
1.377957,0.879902,0.895468,2.314480
1.582015,1.371136,1.241812,0.955002
0.743340,0.049868,0.753417,0.457088
0.111221,0.041875,0.190889,0.095733
0.174417,0.038245,0.110928,0.941192
0.296348,0.186475,0.024755,0.088331
0.537740,0.124600,0.454676,0.132076
0.225765,0.437789,0.168580,0.010375
0.165369,0.050433,0.590051,0.562083
0.317862,0.605549,0.539455,0.367752
0.968741,0.340570,0.112218,0.209586
0.439966,0.183711,0.997357,0.897930
0.325842,0.021075,0.192381,0.567072
0.019737,0.419251,0.329619,0.165150
0.182167,0.059746,0.699814,0.602561
0.096657,0.421264,0.758112,0.767243
0.486787,0.008051,0.125494,0.061764
0.142563,0.275492,0.701430,0.050125
0.249473,0.098782,0.226242,0.645971
0.140466,0.305449,0.522336,0.209191
0.836377,0.693387,0.890241,0.978777
0.339548,0.639050,0.606150,0.711590
1.396608,0.903941,1.220006,1.471409
1.562765,1.341713,0.892054,0.127524
0.500362,0.551541,0.539719,0.914760
1.790972,1.759455,2.115899,1.409375
1.422513,0.222927,0.120281,0.617976
0.011362,0.400642,0.687104,1.139568
1.695109,0.507428,0.558791,0.652026
0.169232,0.227504,0.637334,0.346137
0.125288,0.066560,0.479446,0.198770
0.114842,0.012697,0.349348,0.690013
0.205836,0.305908,0.534838,0.918244
0.377742,1.124362,1.124475,1.433641
1.548420,1.006669,2.233751,1.173458
1.543506,0.958870,0.804631,0.236447
0.256317,0.751525,1.296687,1.234168
0.923998,0.706533,0.814587,0.503988
0.316840,0.392407,0.556958,1.370274
0.910645,0.853651,0.592083,1.328879
1.022277,0.951129,1.326411,1.049585
0.726767,0.549330,0.862635,0.945454
1.229747,2.210803,1.810821,1.913752
2.014178,1.974597,2.193249,2.538379
3.172197,2.722676,1.894793,1.653050
1.145082,0.300070,0.397595,0.113083
0.780129,0.231443,0.038702,0.418252
0.534416,0.380994,0.924296,0.182625
0.447274,0.835078,1.410393,1.982139
1.624238,1.603012,1.229736,2.134574
2.139047,2.469509,3.374299,2.773794
3.297753,3.553452,3.321796,3.179956
3.529282,2.200752,1.710760,1.470891
2.717731,1.940087,1.908429,2.057900
1.151189,1.822335,0.999726,0.504518
0.893415,0.015072,0.132404,0.596397
0.113541,0.112339,0.233242,0.061506
0.695040,0.388313,0.962100,0.343764
1.010650,0.970361,0.667191,0.439093
0.868207,1.080753,0.424682,0.673424
0.646779,0.116960,0.256754,0.651714
0.540956,0.288006,0.153370,0.068497
0.698202,1.395125,1.040440,0.129144
0.423956,0.419564,1.070024,2.028204
1.285825,0.741245,0.011169,0.290032
0.002880,0.215562,0.708194,0.768461
0.205951,0.317369,0.175050,0.452630
1.030636,0.404372,0.902411,0.979023
1.457875,1.336186,0.976199,0.561382
0.031475,0.057578,0.751926,0.844972
1.056311,0.318260,0.431432,0.597224
0.235988,0.683300,0.673805,1.065010
0.470589,0.478892,0.207486,0.608418
0.307291,0.272663,0.558272,0.436856
0.398134,0.059740,0.382824,0.548530
0.043918,0.256463,0.995207,1.445762
1.244273,1.235218,1.680275,1.498400
1.851982,2.478359,2.730146,2.972604
3.750892,3.572611,3.688032,3.327903
3.967394,4.130859,4.802127,4.723341
3.817096,3.839545,4.266218,3.758514
4.532907,4.417189,4.205776,4.207187
3.973576,3.514133,4.268516,4.328543
4.662246,4.991055,4.176025,4.313780
4.612254,3.857224,3.722288,3.197357
3.136938,3.012100,4.142168,4.107479
4.803372,4.345904,4.418500,3.682174
4.366833,4.375475,4.141577,4.616464
4.334084,4.717656,4.862747,4.521518
3.873283,3.906354,3.474114,3.251369
3.128689,2.879124,2.714069,2.454665
2.092485,1.377984,0.960455,0.111944
0.546979,0.561634,0.434943,0.768571
0.902285,0.570912,1.437817,1.766230
1.530338,2.383497,2.318306,2.222594
