likelihood_theta2,theta2
1.0041679736e-18,0.4926720564
3.2031525914e-18,0.6790676089
1.0352415316e-42,3.6578430827
2.3774992908e-56,4.8169618385
4.6971258932e-21,0.0781679714
6.0596101642e-18,0.9317873536
1.0595757909e-36,3.2066774570
2.1114562187e-19,0.3319310224
4.8737874896e-18,1.1096510310
7.2349415556e-20,0.2470607946
7.8170288832e-25,2.2423490316
7.3602883893e-35,3.0686553780
1.8364927238e-18,1.3111533739
5.9302594263e-18,1.0072517881
5.8690311060e-18,1.0170796803
2.7232223233e-19,0.3544575416
2.2481248220e-24,2.1971677725
2.5799622494e-21,0.0500992779
9.4271818789e-22,1.9065886149
5.5519199756e-27,2.4402230251
2.6997366212e-18,1.2492070130
5.8487966886e-18,0.8864290792
4.6434378837e-19,1.4735269135
4.6811680536e-21,0.0779959644
2.9796781626e-18,0.6637963465
5.8067299215e-18,0.8805282051
3.7242317067e-33,2.9394869444
7.1135714711e-36,3.1448381099
2.7901027755e-19,0.3566639549
7.2982115267e-19,1.4265574622
9.8910110697e-56,4.7565242110
5.8450654037e-18,0.8858870524
6.1436625792e-20,0.2352435111
1.8971427492e-18,0.5824616360
3.2878003544e-18,0.6847848130
8.8612978105e-19,1.4048440376
1.2929828793e-20,0.1338940746
5.0044086921e-18,1.1001705941
2.7667785026e-20,0.1809816557
2.5917501253e-21,1.8499466261
6.0546702745e-21,1.7997058899
9.7856307666e-33,2.9073534718
9.2878202831e-19,0.4829767878
1.6887879698e-21,0.0338139958
1.5860510136e-37,3.2682416031
7.3274240948e-19,0.4548844698
8.2642588930e-20,0.2568702332
5.6859660655e-18,0.8655343557
1.2280196175e-19,0.2872100704
5.9282427623e-18,1.0076026613
7.3500862022e-19,0.4552381523
2.8675089525e-20,0.1833026535
1.8880887773e-20,0.1567886552
5.8623102453e-26,2.3484235423
7.1211545263e-20,0.2459036481
6.2367476021e-20,0.2363196853
6.4180067825e-19,0.4399863408
3.2084183262e-18,1.2165086623
2.8517625414e-19,0.3586609266
5.6340038413e-21,0.0875282493
8.2413554652e-21,0.1080678030
2.1267996296e-18,0.6012275093
2.1029230939e-21,0.0418118360
